ProductID,ProductName,Category,Price,StockQuantity,IsActive,CreatedAt
1,Fashion Item 00001,Fashion,36.32,1122,1,2022-07-26 06:37:14
2,Fashion Item 00002,Fashion,62.46,1850,1,2025-04-16 12:10:15
3,Home Item 00003,Home,325.02,1913,1,2023-03-02 20:11:32
4,Electronics Item 00004,Electronics,1018.43,1578,1,2024-11-14 20:58:22
5,Books Item 00005,Books,76.72,611,1,2025-05-09 00:17:33
6,Fashion Item 00006,Fashion,22.85,875,1,2025-01-21 15:05:20
7,Home Item 00007,Home,249.62,274,1,2022-09-18 14:16:13
8,Beauty Item 00008,Beauty,96.37,130,1,2023-06-27 01:29:57
9,Books Item 00009,Books,32.64,1828,1,2024-08-30 10:09:25
10,Grocery Item 00010,Grocery,11.02,1655,1,2024-12-17 06:49:11
11,Beauty Item 00011,Beauty,109.99,1221,1,2024-10-17 19:04:41
12,Fashion Item 00012,Fashion,108.74,1228,1,2020-04-28 15:02:55
13,Grocery Item 00013,Grocery,87.35,345,1,2021-10-16 04:17:26
14,Fashion Item 00014,Fashion,168.83,1325,1,2024-07-04 15:27:14
15,Beauty Item 00015,Beauty,193.24,1256,1,2023-06-24 18:58:47
16,Fashion Item 00016,Fashion,278.71,1877,1,2022-06-10 05:30:36
17,Electronics Item 00017,Electronics,772.97,1596,1,2021-11-18 16:24:03
18,Beauty Item 00018,Beauty,117.24,1045,1,2022-10-20 09:11:31
19,Books Item 00019,Books,41.50,1950,1,2023-02-28 06:39:26
20,Books Item 00020,Books,33.69,94,1,2022-10-09 09:27:02
21,Sports Item 00021,Sports,183.89,374,1,2022-05-15 01:35:31
22,Home Item 00022,Home,198.09,1496,1,2021-05-22 02:07:57
23,Beauty Item 00023,Beauty,42.18,134,1,2022-08-20 19:50:26
24,Grocery Item 00024,Grocery,61.10,1327,1,2020-10-02 22:09:08
25,Electronics Item 00025,Electronics,728.25,248,1,2022-02-27 13:51:42
26,Beauty Item 00026,Beauty,16.08,1409,1,2020-09-04 18:26:21
27,Electronics Item 00027,Electronics,1223.89,1828,1,2020-06-30 01:43:45
28,Books Item 00028,Books,36.47,1484,1,2020-12-27 04:36:55
29,Home Item 00029,Home,396.13,1769,1,2022-08-30 14:42:42
30,Electronics Item 00030,Electronics,1336.69,900,1,2022-12-31 18:29:45
31,Home Item 00031,Home,70.50,325,1,2023-04-24 21:14:50
32,Books Item 00032,Books,40.31,807,1,2024-11-20 15:42:44
33,Electronics Item 00033,Electronics,1960.22,529,1,2021-02-16 04:07:44
34,Fashion Item 00034,Fashion,202.14,1117,1,2021-05-30 03:18:38
35,Home Item 00035,Home,433.97,177,1,2025-09-25 07:23:18
36,Fashion Item 00036,Fashion,276.27,444,1,2021-11-18 23:57:07
37,Beauty Item 00037,Beauty,50.86,669,1,2024-10-25 03:41:33
38,Electronics Item 00038,Electronics,688.25,1526,1,2021-10-12 08:54:04
39,Sports Item 00039,Sports,466.48,1655,1,2021-10-03 01:52:09
40,Electronics Item 00040,Electronics,2256.81,955,1,2023-12-09 10:34:24
41,Home Item 00041,Home,197.89,767,1,2025-01-14 10:12:08
42,Beauty Item 00042,Beauty,30.28,645,1,2021-05-25 10:46:58
43,Sports Item 00043,Sports,258.93,306,1,2023-11-18 02:25:30
44,Home Item 00044,Home,144.17,1147,1,2024-11-10 07:51:57
45,Electronics Item 00045,Electronics,323.30,1291,1,2021-02-21 14:42:06
46,Home Item 00046,Home,309.88,1367,1,2025-06-15 15:08:06
47,Fashion Item 00047,Fashion,133.86,565,1,2020-07-25 14:44:02
48,Beauty Item 00048,Beauty,167.84,764,1,2020-10-21 10:35:52
49,Home Item 00049,Home,116.35,1669,1,2020-11-04 18:32:03
50,Grocery Item 00050,Grocery,35.38,1748,1,2025-12-29 18:45:50
51,Electronics Item 00051,Electronics,395.75,149,1,2025-07-11 01:14:41
52,Electronics Item 00052,Electronics,2391.05,481,1,2023-07-25 14:09:00
53,Beauty Item 00053,Beauty,50.47,769,1,2022-12-11 22:35:30
54,Sports Item 00054,Sports,229.09,36,1,2021-07-05 10:31:55
55,Electronics Item 00055,Electronics,787.03,1525,1,2024-11-18 09:25:35
56,Home Item 00056,Home,323.93,176,1,2022-02-02 13:37:21
57,Electronics Item 00057,Electronics,673.64,324,1,2025-04-24 11:15:27
